Facility, stories, videos, photos, notes, reactions, contributors, points
Sudbury Arena - ON,1,0,1,1,0,2,14
Southeast Event Centre - MB,1,0,1,1,0,1,14
E J Broomfield Arena - NL,1,0,0,3,0,4,13
Lunenburg Community Centre Arena - NS,1,0,1,0,0,1,13
Oceanside Place Arena - BC,1,0,1,0,0,2,13
Sudbury Community Arena - ON,1,0,0,2,1,3,13
Sundre Arena - AB,1,0,1,0,0,1,13
Bay Arena - NL,1,0,1,0,0,1,13
Lloyd Wilson Centennial Arena - ON,1,0,1,0,0,2,13
Clearwater Arena - ON,1,0,1,0,0,1,13
Tom Forsyth Memorial Arena - BC,1,0,1,0,0,2,13
Centre sportif sainte-anne des plaines - QC,1,0,1,0,0,1,13
Shelburne County Arena - NS,1,0,0,1,2,2,13
Co-operative Place - SK,0,0,4,1,0,1,13
Fundy Arena - NB,1,0,1,0,0,1,13
Cornwall Civic Complex - ON,1,0,1,0,0,1,13
Aréna Doug-Harvey - QC,1,0,1,0,0,2,13
Kinsmen Community Arenas - AB,1,0,1,0,0,1,13
Essar Centre formerly Steelback Centre - ON,1,0,1,0,0,1,13
Desbarats arena  - ON,1,0,1,0,0,1,13
Deseronto Community Recreation Centre - ON,1,0,1,0,0,1,13
Gaylord Powless Arena - ON,1,0,1,0,0,2,13
Flames Community Arenas - AB,1,0,1,0,0,1,13
Berens River First Nation - MB,0,0,4,0,0,1,12
Acton Community Centre - ON,1,0,0,2,0,3,12
Nicola Valley Memorial Arena - BC,1,0,0,2,0,3,12
Aréna Jacques Laperrière - QC,1,0,0,1,0,1,11
Kuujjuaq Forum - QC,0,0,2,1,4,1,11
Deep River Arena - ON,1,0,0,1,0,1,11
Affinity Place - SK,1,0,0,1,0,1,11
Aréna Gilles-Bourassa - QC,1,0,0,1,0,2,11
Arena Des Iles - NB,1,0,0,1,0,1,11
Tamitik Jubilee Sports Complex - BC,1,0,0,1,0,1,11
New Tecumseth Recreation Centre - ON,1,0,0,1,0,1,11
Port Stanley Arena & Community Centre - ON,1,0,0,1,0,1,11
Ilderton Arena - ON,1,0,0,1,0,2,11
Little Britain Arena - ON,1,0,0,1,0,2,11
Centre sportif Mégantic - QC,1,0,0,1,0,1,11
Polar Center - NL,1,0,0,0,1,1,11
Cariboo Memorial Complex - BC,1,0,0,1,0,1,11
Aréna Pierre-Creamer - QC,1,0,0,1,0,1,11
Capital News Centre CNC1 - BC,1,0,0,1,0,2,11
Reeves Community Complex - ON,1,0,0,1,0,2,11
Ma-te-way Park - ON,1,0,0,1,0,1,11
Ridgetown Arena - ON,1,0,0,1,0,1,11
Centre Sportif d'Opitciwan - QC,1,0,0,1,0,1,11
Cremona Ag Society Community Arena - AB,1,0,0,0,0,1,10
Frank Crane Arena - BC,1,0,0,0,0,1,10
De Salaberry Recreation Facility (St. Malo Arena) - MB,1,0,0,0,0,1,10
Macdonald - QC,1,0,0,0,0,1,10
Jubilee Recreation Centre - AB,1,0,0,0,0,1,10
Blackstock Recreation Complex - ON,1,0,0,0,0,1,10
Ken Houston Memorial Agricultural Centre - ON,1,0,0,0,0,1,10
Katelyn Osmond Arena - NL,1,0,0,0,0,1,10
Dan K. Stevens Memorial Arena - NS,1,0,0,0,0,1,10
West Orillia Sports Complex Rotary Place Arena - ON,1,0,0,0,0,1,10
High level  Arena - AB,1,0,0,0,0,1,10
Redvers Recreation Centre - SK,0,0,3,1,0,1,10
Aréna Joannie Rochette - QC,1,0,0,0,0,1,10
Inch Arran Ice Palace - NB,1,0,0,0,0,1,10
Pavillon des Sports - QC,1,0,0,0,0,1,10
 Gilbert McDonald Arena - MB,1,0,0,0,0,1,10
Parkdale Arena - ON,1,0,0,0,0,1,10
Aréna Kevin Lowe & Pierre Pagé - QC,1,0,0,0,0,1,10
Rolling Mix Concrete Arena - BC,1,0,0,0,0,1,10
Oakridge Arena - ON,1,0,0,0,0,1,10
Aréna Joé Juneau - QC,1,0,0,0,0,1,10
Maitland Recreation Centre - ON,1,0,0,0,0,1,10
Stephenville Dome - NL,1,0,0,0,0,1,10
East Ferris Community Centre & Arena - ON,1,0,0,0,0,1,10
Carrot River Community Centre - SK,1,0,0,0,0,1,10
Brian Orser Arena Twin Lakes Arena - ON,1,0,0,0,0,1,10
Walpole Island Complex - ON,1,0,0,0,0,1,10
SEAPARC Recreation Centre - BC,1,0,0,0,0,1,10
Sandman Centre - BC,1,0,0,0,0,1,10
Aréna André Lacroix - QC,1,0,0,0,0,1,10
Aréna de Repentigny - QC,1,0,0,0,0,1,10
Centre sportif de Delson - QC,1,0,0,0,0,1,10
Aréna Guy Carboneau - QC,1,0,0,0,0,1,10
Collingwood Eddie Bush Memorial Arena - ON,1,0,0,0,0,1,10
Deline Arena - NT,1,0,0,0,0,1,10
North Huron Wescast Community Center - ON,1,0,0,0,0,1,10
A.J.M. Davies Arena - SK,1,0,0,0,0,1,10
George Bell Arena - ON,1,0,0,0,0,1,10
Canora Civic Center - SK,1,0,0,0,0,1,10
Harvey Memorial Community Centre - NB,1,0,0,0,0,1,10
Viscount Arena - SK,1,0,0,0,0,1,10
Gemini Sportsplex - ON,1,0,0,0,0,1,10
Luther Vipond Brooklin Memorial Arena - ON,1,0,0,0,0,1,10
Mooretown Sports Complex - ON,1,0,0,0,0,1,10
Julie McArthur Centre - ON,1,0,0,0,0,1,10
A.J. LaRue Arena - ON,1,0,0,0,0,1,10
Caledon East Community Complex - ON,1,0,0,0,0,1,10
Foxwarren Arena - MB,1,0,0,0,0,1,10
Fraser Lake Recreation Complex - BC,1,0,0,0,0,1,10
Quesnel Arenas - BC,1,0,0,0,0,1,10
Mike Rodden Arena - ON,1,0,0,0,0,1,10
Canmore Recreation Centre - AB,1,0,0,0,0,1,10
Millview Arena - AB,1,0,0,0,0,1,10
Gravelbourg Rink - SK,1,0,0,0,0,1,10
Scotiabank Arena - ON,1,0,0,0,0,1,10
Aréna Cité-des-Jeunes - QC,1,0,0,0,0,1,10
Bonavista Cabot Stadium - NL,1,0,0,0,0,1,10
Paradise Hill - SK,1,0,0,0,0,1,10
Eatonia Memorial Arena - SK,1,0,0,0,0,1,10
Arena mario vollant - QC,1,0,0,0,0,1,10
West Kelowna Hockey Centre - BC,1,0,0,0,0,1,10
Belmont Arena - ON,1,0,0,0,0,1,10
La Glace Arena - AB,1,0,0,0,0,1,10
Sexsmith Arena - AB,1,0,0,0,0,1,10
Centre récréatif Norman-Boisvert - QC,1,0,0,0,0,1,10
Keswick Valley Arena - NB,1,0,0,0,0,1,10
Northern Lights Rec Centre - AB,1,0,0,0,0,1,10
Rose valley recreation rink - SK,1,0,0,0,0,1,10
Ke-Na-Now Centre - MB,1,0,0,0,0,1,10
Pikangikum Arena - ON,1,0,0,0,0,1,10
Aréna Richard Trottier - QC,1,0,0,0,0,1,10
Wilmot Recreation Complex  - ON,1,0,0,0,0,1,10
Aréna Nicol Auto - QC,1,0,0,0,0,1,10
Mossbank Curling & Skating Rink - SK,1,0,0,0,0,1,10
Aréna de St-Romuald - QC,1,0,0,0,0,1,10
Complexe Walter-Buswell (arénas) - QC,0,0,3,1,0,1,10
Adie Knox Herman Arena - ON,1,0,0,0,0,1,10
Mike Austin - NL,1,0,0,0,0,1,10
Terrace Bay Recreation Center - ON,1,0,0,0,0,1,10
Winfield Arena - BC,1,0,0,0,0,1,10
Hagersville Memorial Arena - ON,1,0,0,0,0,1,10
Teulon-Rockwood Arena - MB,0,0,3,1,0,1,10
St-Ubalde Arena - QC,1,0,0,0,0,1,10
Glanbrook Arena - ON,1,0,0,0,0,1,10
Georgina Sutton Arena Hall - ON,1,0,0,0,0,1,10
Lanark Community Centre - ON,1,0,0,0,0,1,10
New Waterford & District community centre - NS,1,0,0,0,0,1,10
Arthur Arena - ON,1,0,0,0,0,1,10
Wasaga Beach Arena - ON,1,0,0,0,0,1,10
Napoleon Merasty Memorial Arena - SK,1,0,0,0,0,1,10
Westland Arena - SK,1,0,0,0,0,1,10
Aréna de Blainville - QC,1,0,0,0,0,1,10
Markham Village Arena - ON,1,0,0,0,0,1,10
Chipman Centenial Arena - NB,1,0,0,0,0,1,10
Inverness Arena - NS,1,0,0,0,0,1,10
Moose Jaw Events Centre - SK,1,0,0,0,0,1,10
Spryfield Lions Rink - NS,1,0,0,0,0,1,10
BCN arena  - MB,1,0,0,0,0,1,10
Vollmer Center - ON,1,0,0,0,0,1,10
Father Pierre Rigaud Arena - YT,1,0,0,0,0,1,10
Centre sportif André Dubé - QC,1,0,0,0,0,1,10
Chilliwack Coliseum - BC,1,0,0,0,0,1,10
Omniplex - AB,1,0,0,0,0,1,10
Mount Forest & District Sports Complex - ON,1,0,0,0,0,1,10
Art Hauser Centre - SK,1,0,0,0,0,1,10
Talbot Gardens Arena - ON,1,0,0,0,0,1,10
Chesley Arena - ON,1,0,0,0,0,1,10
Atlas Tube Centre - ON,1,0,0,0,0,1,10
Aréna P E Lefebvre - QC,1,0,0,0,0,1,10
Labrador City Arena - NL,1,0,0,0,0,1,10
Eastern Shore Community Centre - NS,1,0,0,0,0,1,10
Argyle Arena - ON,1,0,0,0,0,1,10
Claude Parrish Memorial Arena - BC,1,0,0,0,0,1,10
Stroud Arena - ON,1,0,0,0,0,1,10
Mimico Arena - ON,1,0,0,0,0,1,10
Strathcona Paper Centre - ON,1,0,0,0,0,1,10
Barrhead Arena - AB,1,0,0,0,0,1,10
Clay Martin - AB,1,0,0,0,0,1,10
marcel Larocque - QC,1,0,0,0,0,1,10
Fuller Lake Arena - BC,1,0,0,0,0,1,10
Rainy River Arena - ON,1,0,0,0,0,1,10
Carleton Place Arena - ON,1,0,0,0,0,1,10
Beckwith Recreation Complex - ON,1,0,0,0,0,1,10
Tricenturena Waterford Arena - ON,1,0,0,0,0,1,10
Parrsboro Lions Arena - NS,1,0,0,0,0,1,10
Kal Tire Place - BC,1,0,0,0,0,1,10
Centre sportif de Buckingham - QC,1,0,0,0,0,1,10
Loisirs de Saint-Edouard-de-Frampton Inc - QC,1,0,0,0,0,1,10
East Hants Sportsplex - NS,1,0,0,0,0,1,10
Whitney Pier Rink - NS,1,0,0,0,0,1,10
A`nowara`ko:wa Arena - ON,1,0,0,0,0,1,10
Frank Lacroix Arena - AB,1,0,0,0,0,1,10
Bobby Orr Community Centre - ON,1,0,0,0,0,1,10
Pilot butte arena - SK,1,0,0,0,0,1,10
Paradise Double Ice Complex - NL,1,0,0,0,0,1,10
Randy Rosen Rink - AB,1,0,0,0,0,1,10
Callingwood - AB,1,0,0,0,0,1,10
Ray Friel Recreation Complex - ON,1,0,0,0,0,1,10
Lakefield-Smith Community Centre - ON,1,0,0,0,0,1,10
Shallow Lake & District Community Centre - ON,1,0,0,0,0,1,10
Bruce II Sports Centre - NL,1,0,0,0,0,1,10
east Selkirk Recreation Centre - MB,1,0,0,0,0,1,10
Al Palladini Community Centre - ON,0,0,3,0,0,1,9
Gaukel Memorial Community Centre - ON,0,0,3,0,0,1,9
Gore Bay Arena - ON,0,0,3,0,0,1,9
Tri-County Complex - NB,0,0,2,0,0,1,6
Tumbler Ridge Community Centre - BC,0,0,2,0,0,1,6
Blind River Community Centre - ON,0,0,1,1,0,1,4
Leon's center - ON,0,0,1,1,0,1,4
Benson Centre - ON,0,0,1,1,0,2,4
Vic Johnston Community Centre - ON,0,0,1,0,0,1,3
Bruno Skating Rink - SK,0,0,1,0,0,1,3
Stanley Agrena - NB,0,0,1,0,0,1,3
Allman Memorial Arena - ON,0,0,0,2,0,2,2
Ron Ebbesen Twin Arena - AB,0,0,0,1,0,1,1
Complexe Sportif Robert Hartley - ON,0,0,0,1,0,1,1
Bridgetown & District Memorial Arena - NS,0,0,0,1,0,1,1
Centre 200 - NS,0,0,0,1,0,1,1
Centre sportif régional de Contrecoeur - QC,0,0,0,1,0,1,1
Arena Pierre Craemer  - QC,0,0,0,1,0,1,1
Aréna de Magog - QC,0,0,0,1,0,1,1
Glacier Arena - NL,0,0,0,1,0,1,1
access event centre - MB,0,0,0,1,0,1,1
Cape Breton County Arena - NS,0,0,0,1,0,1,1
